img,label,enc_label,set
../data/food-images/onion/585733138_81be6a59ac.jpg,food-images,0,train
../data/food-images/onion/6235902_5f0cc6a979.jpg,food-images,0,test
../data/food-images/onion/171666371_a95a0563f3.jpg,food-images,0,train
../data/food-images/onion/2300802397_5caec0eedb.jpg,food-images,0,train
../data/food-images/onion/64402390_cdb5e65749.jpg,food-images,0,test
../data/food-images/onion/59687929_618ede7cdb.jpg,food-images,0,train
../data/food-images/onion/2325301133_8d95989b46.jpg,food-images,0,train
../data/food-images/onion/53082709_429fc731d1.jpg,food-images,0,train
../data/food-images/onion/48617395_089dfa7b5a.jpg,food-images,0,train
../data/food-images/onion/54868490_41e4e08480.jpg,food-images,0,train
../data/food-images/onion/2822648951_872a47db0b.jpg,food-images,0,train
../data/food-images/onion/2183133623_286722889c.jpg,food-images,0,test
../data/food-images/onion/121700147_7906eb6968.jpg,food-images,0,train
../data/food-images/onion/2349600023_12179f5f81.jpg,food-images,0,train
../data/food-images/onion/508364680_2f508360fa.jpg,food-images,0,train
../data/food-images/onion/200740986_e8562c0c55.jpg,food-images,0,train
../data/food-images/onion/2170976519_a3a922d960.jpg,food-images,0,test
../data/food-images/onion/97042461_20a9dd08a6.jpg,food-images,0,train
../data/food-images/onion/2260905245_227426125e.jpg,food-images,0,train
../data/food-images/onion/106673224_9a79e674a7.jpg,food-images,0,test
../data/food-images/onion/2278220285_5d38737a32.jpg,food-images,0,train
../data/food-images/onion/455415413_9526eeb822.jpg,food-images,0,test
../data/food-images/onion/2495598566_741d497f5b.jpg,food-images,0,train
../data/food-images/onion/3066270159_985c99f7f2.jpg,food-images,0,train
../data/food-images/onion/34687479_1e55473405.jpg,food-images,0,train
../data/food-images/onion/786991579_253d0cd3ee.jpg,food-images,0,train
../data/food-images/onion/3047077408_08892153ca.jpg,food-images,0,train
../data/food-images/onion/2783534598_893ca94342.jpg,food-images,0,train
../data/food-images/onion/2787542288_cca8140988.jpg,food-images,0,train
../data/food-images/onion/256654023_1c580a4e26.jpg,food-images,0,train
../data/food-images/onion/2211617647_9c2a26bc55.jpg,food-images,0,train
../data/food-images/onion/76924080_e4584c5758.jpg,food-images,0,train
../data/food-images/onion/993311118_69e50e8efe.jpg,food-images,0,train
../data/food-images/onion/2231018423_09c9b323cf.jpg,food-images,0,train
../data/food-images/onion/542633415_b97c3c53ba.jpg,food-images,0,test
../data/food-images/onion/81094548_bcbccaf16a.jpg,food-images,0,test
../data/food-images/onion/937048180_0e61fcaa0f.jpg,food-images,0,test
../data/food-images/onion/329585740_04cb467c92.jpg,food-images,0,train
../data/food-images/onion/116789529_52ee8dd8bf.jpg,food-images,0,test
../data/food-images/onion/2762668799_8600b60dba.jpg,food-images,0,train
../data/food-images/onion/1895324130_4c06207d2a.jpg,food-images,0,train
../data/food-images/onion/2408010987_bd99f42848.jpg,food-images,0,train
../data/food-images/onion/375031710_3240b32e9b.jpg,food-images,0,train
../data/food-images/onion/2233004183_c3dce01e6e.jpg,food-images,0,train
../data/food-images/onion/163924170_ec25370927.jpg,food-images,0,train
../data/food-images/onion/2562944823_b22612ee7b.jpg,food-images,0,train
../data/food-images/onion/2687741562_665d0812c3.jpg,food-images,0,test
../data/food-images/onion/95134122_7353bf46d5.jpg,food-images,0,train
../data/food-images/onion/2130483739_e2734a19a3.jpg,food-images,0,train
../data/food-images/onion/87427811_0ef6bc0eac.jpg,food-images,0,train
../data/food-images/onion/6236103_d600e2a0c6.jpg,food-images,0,test
../data/food-images/onion/2168595_0b084f8ea6.jpg,food-images,0,train
../data/food-images/onion/2150772250_38e5999f09.jpg,food-images,0,train
../data/food-images/onion/89999686_86a77879b1.jpg,food-images,0,train
../data/food-images/onion/3077263426_24e6f5fa87.jpg,food-images,0,train
../data/food-images/onion/152916344_76dbd7e0b4.jpg,food-images,0,train
../data/food-images/onion/3111277531_eace2be57f.jpg,food-images,0,train
../data/food-images/chicory/2629349379_823b8427d9.jpg,food-images,0,train
../data/food-images/chicory/3731183662_e58fe01e04.jpg,food-images,0,train
../data/food-images/chicory/3795993124_2fa1e1f61e.jpg,food-images,0,train
../data/food-images/chicory/3692849753_6d8bddd1e3.jpg,food-images,0,train
../data/food-images/chicory/4091711153_11e5a74269.jpg,food-images,0,train
../data/food-images/chicory/29928213_83b14562c9.jpg,food-images,0,train
../data/food-images/chicory/3864714275_41c162b737.jpg,food-images,0,train
../data/food-images/chicory/3675986925_07deebe323.jpg,food-images,0,test
../data/food-images/chicory/535675900_4c404ab306.jpg,food-images,0,train
../data/food-images/chicory/2723417862_eefaf64af4.jpg,food-images,0,train
../data/food-images/chicory/2640435102_076d3f3ca9.jpg,food-images,0,train
../data/food-images/chicory/2642085820_b9d181380b.jpg,food-images,0,train
../data/food-images/chicory/123502707_336f1d393c.jpg,food-images,0,train
../data/food-images/chicory/2488027450_6f4c611d33.jpg,food-images,0,train
../data/food-images/chicory/2684592986_48f04b6031.jpg,food-images,0,train
../data/food-images/chicory/977655743_6fe762c67e.jpg,food-images,0,train
../data/food-images/chicory/2767855459_cc2740cd1e.jpg,food-images,0,train
../data/food-images/chicory/248927497_54bfb6362e.jpg,food-images,0,train
../data/food-images/chicory/2319938420_9b77c092c3.jpg,food-images,0,test
../data/food-images/chicory/22525206_3d46d1557c.jpg,food-images,0,train
../data/food-images/chicory/189125001_367e2423bd.jpg,food-images,0,train
../data/food-images/chicory/3844270963_c78e14f6e3.jpg,food-images,0,train
../data/food-images/chicory/25915213_94722ffda4.jpg,food-images,0,train
../data/food-images/chicory/795718359_3214167a26.jpg,food-images,0,train
../data/food-images/chicory/2794097418_8d99a288ea.jpg,food-images,0,train
../data/food-images/chicory/3123822495_2fda82d295.jpg,food-images,0,train
../data/food-images/chicory/2739246026_9ebc449002.jpg,food-images,0,train
../data/food-images/chicory/2492927514_4413cf5896.jpg,food-images,0,train
../data/food-images/chicory/733673834_75b9590410.jpg,food-images,0,train
../data/food-images/chicory/1111939162_2048c49301.jpg,food-images,0,train
../data/food-images/chicory/4077901934_7ae95a05ed.jpg,food-images,0,train
../data/food-images/chicory/3795993128_1bee3ddede.jpg,food-images,0,train
../data/food-images/chicory/3974968869_414425bc7c.jpg,food-images,0,test
../data/food-images/chicory/2641012644_1491283c4d.jpg,food-images,0,test
../data/food-images/chicory/523318867_b29684279e.jpg,food-images,0,train
../data/food-images/chicory/1203353903_50cad91a0d.jpg,food-images,0,train
